!	bang|exclamation|mark|point
#	hash|hashtag|lb|number|pound|sign
#⃣	keycap
$	dollar|money|peso|usd
👨🏾‍❤‍💋‍👨🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|medium|dark|skin|tone|mwah|person|romance|together|xoxo
👨🏾‍❤‍💋‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|medium|mwah|person|romance|together|xoxo
👨🏾‍🌾	farmer|gardener|man|medium|dark|skin|tone|rancher
👨🏾‍🍳	chef|cook|man|medium|dark|skin|tone
👨🏾‍🍼	baby|dad|father|feed|feeding|man|medium|dark|skin|tone|nanny|newborn|nursing
👨🏾‍🎓	graduate|man|medium|dark|skin|tone|student
👨🏾‍🎤	actor|entertainer|man|medium|dark|skin|tone|rock|rockstar|singer|star
👨🏾‍🎨	artist|man|medium|dark|skin|tone|palette
👨🏾‍🏫	instructor|lecturer|man|medium|dark|skin|tone|professor|teacher
👨🏾‍🏭	assembly|factory|industrial|man|medium|dark|skin|tone|worker
👨🏾‍🐰‍👨🏻	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|dark|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏾‍🐰‍👨🏼	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|dark|skin|tone|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏾‍🐰‍👨🏽	bestie|bff|bunny|counterpart|dancer|double|ear|identical|medium|skin|tone|dark|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏾‍🐰‍👨🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏾‍💻	coder|computer|developer|inventor|man|medium|dark|skin|tone|software|technologist
👨🏾‍💼	architect|business|man|manager|medium|dark|skin|tone|office|white|collar|worker
👨🏾‍🔧	electrician|man|mechanic|medium|dark|skin|tone|plumber|tradesperson
👨🏾‍🔬	biologist|chemist|engineer|man|mathematician|medium|dark|skin|tone|physicist|scientist
👨🏾‍🚀	astronaut|man|medium|dark|skin|tone|rocket|space
👨🏾‍🚒	fire|firefighter|firetruck|man|medium|dark|skin|tone
👨🏾‍🤝‍👨🏻	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|light|skin|tone|medium|dark|men|twins|holding|hands
👨🏾‍🤝‍👨🏼	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|medium|dark|skin|tone|light|men|twins|holding|hands
👨🏾‍🤝‍👨🏽	bae|bestie|bff|boys|brothers|couple|dating|flirt|friends|hand|hold|medium|skin|tone|dark|men|twins|holding|hands
👨🏾‍🤝‍👨🏿	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|men|twins|holding|hands
👨🏾‍🦯	accessibility|blind|cane|man|medium|dark|skin|tone|probing|white
👨🏾‍🦯‍➡	accessibility|blind|cane|facing|man|medium|dark|skin|tone|probing|right|white
👨🏾‍🦰	adult|bro|man|medium|dark|skin|tone|red|hair
👨🏾‍🦱	adult|bro|curly|hair|man|medium|dark|skin|tone
👨🏾‍🦲	adult|bald|bro|man|medium|dark|skin|tone
👨🏾‍🦳	adult|bro|man|medium|dark|skin|tone|white|hair
👨🏾‍🦼	accessibility|man|medium|dark|skin|tone|motorized|wheelchair
👨🏾‍🦼‍➡	accessibility|facing|man|medium|dark|skin|tone|motorized|right|wheelchair
👨🏾‍🦽	accessibility|man|manual|medium|dark|skin|tone|wheelchair
👨🏾‍🦽‍➡	accessibility|facing|man|manual|medium|dark|skin|tone|right|wheelchair
👨🏾‍🫯‍👨🏻	combat|duel|grapple|light|skin|tone|medium|dark|men|ring|tournament|wrestle|wrestling
👨🏾‍🫯‍👨🏼	combat|duel|grapple|medium|dark|skin|tone|light|men|ring|tournament|wrestle|wrestling
👨🏾‍🫯‍👨🏽	combat|duel|grapple|medium|skin|tone|dark|men|ring|tournament|wrestle|wrestling
👨🏾‍🫯‍👨🏿	combat|dark|skin|tone|duel|grapple|medium|men|ring|tournament|wrestle|wrestling
👨🏿	adult|bro|dark|skin|tone|man
👨🏿‍⚕	dark|skin|tone|doctor|health|healthcare|man|nurse|therapist|worker
👨🏿‍⚖	dark|skin|tone|judge|justice|law|man|scales
👨🏿‍✈	dark|skin|tone|man|pilot|plane
👨🏿‍❤‍👨🏻	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|light|love|man|person|relationship|romance|together|you
👨🏿‍❤‍👨🏼	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|medium|light|person|relationship|romance|together|you
👨🏿‍❤‍👨🏽	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|medium|person|relationship|romance|together|you
👨🏿‍❤‍👨🏾	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|medium|person|relationship|romance|together|you
👨🏿‍❤‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|love|man|person|relationship|romance|together|you
👨🏿‍❤‍💋‍👨🏻	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|light|love|man|mwah|person|romance|together|xoxo
👨🏿‍❤‍💋‍👨🏼	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|medium|light|mwah|person|romance|together|xoxo
👨🏿‍❤‍💋‍👨🏽	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|medium|mwah|person|romance|together|xoxo
👨🏿‍❤‍💋‍👨🏾	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|medium|mwah|person|romance|together|xoxo
👨🏿‍❤‍💋‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|love|man|mwah|person|romance|together|xoxo
👨🏿‍🌾	dark|skin|tone|farmer|gardener|man|rancher
👨🏿‍🍳	chef|cook|dark|skin|tone|man
👨🏿‍🍼	baby|dad|dark|skin|tone|father|feed|feeding|man|nanny|newborn|nursing
👨🏿‍🎓	dark|skin|tone|graduate|man|student
👨🏿‍🎤	actor|dark|skin|tone|entertainer|man|rock|rockstar|singer|star
👨🏿‍🎨	artist|dark|skin|tone|man|palette
👨🏿‍🏫	dark|skin|tone|instructor|lecturer|man|professor|teacher
👨🏿‍🏭	assembly|dark|skin|tone|factory|industrial|man|worker
👨🏿‍🐰‍👨🏻	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏿‍🐰‍👨🏼	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|light|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏿‍🐰‍👨🏽	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏿‍🐰‍👨🏾	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|medium|men|pair|party|partying|people|soulmate|twin|twinsies|ears
👨🏿‍💻	coder|computer|dark|skin|tone|developer|inventor|man|software|technologist
👨🏿‍💼	architect|business|dark|skin|tone|man|manager|office|white|collar|worker
👨🏿‍🔧	dark|skin|tone|electrician|man|mechanic|plumber|tradesperson
👨🏿‍🔬	biologist|chemist|dark|skin|tone|engineer|man|mathematician|physicist|scientist
👨🏿‍🚀	astronaut|dark|skin|tone|man|rocket|space
👨🏿‍🚒	dark|skin|tone|fire|firefighter|firetruck|man
👨🏿‍🤝‍👨🏻	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|light|men|twins|holding|hands
👨🏿‍🤝‍👨🏼	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|light|men|twins|holding|hands
👨🏿‍🤝‍👨🏽	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|men|twins|holding|hands
👨🏿‍🤝‍👨🏾	bae|bestie|bff|boys|brothers|couple|dark|skin|tone|dating|flirt|friends|hand|hold|medium|men|twins|holding|hands
👨🏿‍🦯	accessibility|blind|cane|dark|skin|tone|man|probing|white
👨🏿‍🦯‍➡	accessibility|blind|cane|dark|skin|tone|facing|man|probing|right|white
👨🏿‍🦰	adult|bro|dark|skin|tone|man|red|hair
👨🏿‍🦱	adult|bro|curly|hair|dark|skin|tone|man
👨🏿‍🦲	adult|bald|bro|dark|skin|tone|man
👨🏿‍🦳	adult|bro|dark|skin|tone|man|white|hair
👨🏿‍🦼	accessibility|dark|skin|tone|man|motorized|wheelchair
👨🏿‍🦼‍➡	accessibility|dark|skin|tone|facing|man|motorized|right|wheelchair
👨🏿‍🦽	accessibility|dark|skin|tone|man|manual|wheelchair
👨🏿‍🦽‍➡	accessibility|dark|skin|tone|facing|man|manual|right|wheelchair
👨🏿‍🫯‍👨🏻	combat|dark|skin|tone|duel|grapple|light|men|ring|tournament|wrestle|wrestling
👨🏿‍🫯‍👨🏼	combat|dark|skin|tone|duel|grapple|medium|light|men|ring|tournament|wrestle|wrestling
👨🏿‍🫯‍👨🏽	combat|dark|skin|tone|duel|grapple|medium|men|ring|tournament|wrestle|wrestling
👨🏿‍🫯‍👨🏾	combat|dark|skin|tone|duel|grapple|medium|men|ring|tournament|wrestle|wrestling
👩	adult|lady|woman
👩‍⚕	doctor|health|healthcare|nurse|therapist|woman|worker
👩‍⚖	judge|justice|law|scales|woman
👩‍✈	pilot|plane|woman
👩‍❤‍👨	anniversary|babe|bae|couple|dating|heart|kiss|love|man|person|relationship|romance|together|woman|you
👩‍❤‍👩	anniversary|babe|bae|couple|dating|heart|kiss|love|person|relationship|romance|together|woman|you
👩‍❤‍💋‍👨	anniversary|babe|bae|couple|date|dating|heart|kiss|love|man|mwah|person|romance|together|woman|xoxo
👩‍❤‍💋‍👩	anniversary|babe|bae|couple|date|dating|heart|kiss|love|mwah|person|romance|together|woman|xoxo
👩‍🌾	farmer|gardener|rancher|woman
👩‍🍳	chef|cook|woman
👩‍🍼	baby|feed|feeding|mom|mother|nanny|newborn|nursing|woman
👩‍🎓	graduate|student|woman
👩‍🎤	actor|entertainer|rock|rockstar|singer|star|woman
👩‍🎨	artist|palette|woman
👩‍🏫	instructor|lecturer|professor|teacher|woman
👩‍🏭	assembly|factory|industrial|woman|worker
👩‍👦	boy|child|family|woman
👩‍👦‍👦	boy|child|family|woman
👩‍👧	child|family|girl|woman
👩‍👧‍👦	boy|child|family|girl|woman
👩‍👧‍👧	child|family|girl|woman
👩‍👩‍👦	boy|child|family|woman
👩‍👩‍👦‍👦	boy|child|family|woman
👩‍👩‍👧	child|family|girl|woman
👩‍👩‍👧‍👦	boy|child|family|girl|woman
👩‍👩‍👧‍👧	child|family|girl|woman
👩‍💻	coder|computer|developer|inventor|software|technologist|woman
👩‍💼	architect|business|manager|office|white|collar|woman|worker
👩‍🔧	electrician|mechanic|plumber|tradesperson|woman
👩‍🔬	biologist|chemist|engineer|mathematician|physicist|scientist|woman
👩‍🚀	astronaut|rocket|space|woman
👩‍🚒	fire|firefighter|firetruck|woman
👩‍🦯	accessibility|blind|cane|probing|white|woman
👩‍🦯‍➡	accessibility|blind|cane|facing|probing|right|white|woman
👩‍🦰	adult|lady|red|hair|woman
👩‍🦱	adult|curly|hair|lady|woman
👩‍🦲	adult|bald|lady|woman
👩‍🦳	adult|lady|white|hair|woman
👩‍🦼	accessibility|motorized|wheelchair|woman
👩‍🦼‍➡	accessibility|facing|motorized|right|wheelchair|woman
👩‍🦽	accessibility|manual|wheelchair|woman
👩‍🦽‍➡	accessibility|facing|manual|right|wheelchair|woman
👩🏻	adult|lady|light|skin|tone|woman
👩🏻‍⚕	doctor|health|healthcare|light|skin|tone|nurse|therapist|woman|worker
👩🏻‍⚖	judge|justice|law|light|skin|tone|scales|woman
👩🏻‍✈	light|skin|tone|pilot|plane|woman
👩🏻‍❤‍👨🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|person|relationship|romance|together|woman|you
👩🏻‍❤‍👨🏼	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|person|relationship|romance|together|woman|you
👩🏻‍❤‍👨🏽	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|person|relationship|romance|together|woman|you
👩🏻‍❤‍👨🏾	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|man|medium|dark|person|relationship|romance|together|woman|you
👩🏻‍❤‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|light|love|man|person|relationship|romance|together|woman|you
👩🏻‍❤‍👩🏻	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|person|relationship|romance|together|woman|you
👩🏻‍❤‍👩🏼	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|medium|person|relationship|romance|together|woman|you
👩🏻‍❤‍👩🏽	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|medium|person|relationship|romance|together|woman|you
👩🏻‍❤‍👩🏾	anniversary|babe|bae|couple|dating|heart|kiss|light|skin|tone|love|medium|dark|person|relationship|romance|together|woman|you
👩🏻‍❤‍👩🏿	anniversary|babe|bae|couple|dark|skin|tone|dating|heart|kiss|light|love|person|relationship|romance|together|woman|you
👩🏻‍❤‍💋‍👨🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👨🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👨🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👨🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|man|medium|dark|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👨🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|light|love|man|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👩🏻	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👩🏼	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|medium|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👩🏽	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|medium|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👩🏾	anniversary|babe|bae|couple|date|dating|heart|kiss|light|skin|tone|love|medium|dark|mwah|person|romance|together|woman|xoxo
👩🏻‍❤‍💋‍👩🏿	anniversary|babe|bae|couple|dark|skin|tone|date|dating|heart|kiss|light|love|mwah|person|romance|together|woman|xoxo
👩🏻‍🌾	farmer|gardener|light|skin|tone|rancher|woman
👩🏻‍🍳	chef|cook|light|skin|tone|woman
👩🏻‍🍼	baby|feed|feeding|light|skin|tone|mom|mother|nanny|newborn|nursing|woman
👩🏻‍🎓	graduate|light|skin|tone|student|woman
👩🏻‍🎤	actor|entertainer|light|skin|tone|rock|rockstar|singer|star|woman
👩🏻‍🎨	artist|light|skin|tone|palette|woman
👩🏻‍🏫	instructor|lecturer|light|skin|tone|professor|teacher|woman
👩🏻‍🏭	assembly|factory|industrial|light|skin|tone|woman|worker
👩🏻‍🐰‍👩🏼	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|pair|party|partying|people|soulmate|twin|twinsies|women|ears
👩🏻‍🐰‍👩🏽	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|pair|party|partying|people|soulmate|twin|twinsies|women|ears
👩🏻‍🐰‍👩🏾	bestie|bff|bunny|counterpart|dancer|double|ear|identical|light|skin|tone|medium|dark|pair|party|partying|people|soulmate|twin|twinsies|women|ears
👩🏻‍🐰‍👩🏿	bestie|bff|bunny|counterpart|dancer|dark|skin|tone|double|ear|identical|light|pair|party|partying|people|soulmate|twin|twinsies|women|ears
👩🏻‍💻	coder|computer|developer|inventor|light|skin|tone|software|technologist|woman
👩🏻‍💼	architect|business|light|skin|tone|manager|office|white|collar|woman|worker
👩🏻‍🔧	electrician|light|skin|tone|mechanic|plumber|tradesperson|woman
👩🏻‍🔬	biologist|chemist|engineer|light|skin|tone|mathematician|physicist|scientist|woman
👩🏻‍🚀	astronaut|light|skin|tone|rocket|space|woman
👩🏻‍🚒	fire|firefighter|firetruck|light|skin|tone|woman
👩🏻‍🤝‍👨🏼	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|light|skin|tone|man|medium|twins|woman|holding|hands
👩🏻‍🤝‍👨🏽	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|light|skin|tone|man|medium|twins|woman|holding|hands
👩🏻‍🤝‍👨🏾	bae|bestie|bff|couple|dating|flirt|friends|hand|hold|light|skin|tone|man|medium|dark|twins|woman|holding|hands
👩🏻‍🤝‍👨🏿	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|hand|hold|light|man|twins|woman|holding|hands
👩🏻‍🤝‍👩🏼	bae|bestie|bff|couple|dating|flirt|friends|girls|hand|hold|light|skin|tone|medium|sisters|twins|women|holding|hands
👩🏻‍🤝‍👩🏽	bae|bestie|bff|couple|dating|flirt|friends|girls|hand|hold|light|skin|tone|medium|sisters|twins|women|holding|hands
👩🏻‍🤝‍👩🏾	bae|bestie|bff|couple|dating|flirt|friends|girls|hand|hold|light|skin|tone|medium|dark|sisters|twins|women|holding|hands
👩🏻‍🤝‍👩🏿	bae|bestie|bff|couple|dark|skin|tone|dating|flirt|friends|girls|hand|hold|light|sisters|twins|women|holding|hands
👩🏻‍🦯	accessibility|blind|cane|light|skin|tone|probing|white|woman
👩🏻‍🦯‍➡	accessibility|blind|cane|facing|light|skin|tone|probing|right|white|woman
👩🏻‍🦰	adult|lady|light|skin|tone|red|hair|woman
👩🏻‍🦱	adult|curly|hair|lady|light|skin|tone|woman
👩🏻‍🦲	adult|bald|lady|light|skin|tone|woman
👩🏻‍🦳	adult|lady|light|skin|tone|white|hair|woman
👩🏻‍🦼	accessibility|light|skin|tone|motorized|wheelchair|woman
👩🏻‍🦼‍➡	accessibility|facing|light|skin|tone|motorized|right|wheelchair|woman
👩🏻‍🦽	accessibility|light|skin|tone|manual|wheelchair|woman
👩🏻‍🦽‍➡	accessibility|facing|light|skin|tone|manual|right|wheelchair|woman
👩🏻‍🫯‍👩🏼	combat|duel|grapple|light|skin|tone|medium|ring|tournament|women|wrestle|wrestling
👩🏻‍🫯‍👩🏽	combat|duel|grapple|light|skin|tone|medium|ring|tournament|women|wrestle|wrestling
👩🏻‍🫯‍👩🏾	combat|duel|grapple|light|skin|tone|medium|dark|ring|tournament|women|wrestle|wrestling
👩🏻‍🫯‍👩🏿	combat|dark|skin|tone|duel|grapple|light|ring|tournament|women|wrestle|wrestling
